"","TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper","DateTime","UnixTime"
"94","072D524C 2021-08-04 18:00:00","072D524C","2021-08-04","18:00:00",3,411545.014189447,4261911.6748112,410497.915793285,412592.112585609,4260946.89222211,4262876.4574003,2021-08-04 12:00:00,1628100000
"95","072D524C 2021-08-04 18:01:00","072D524C","2021-08-04","18:01:00",4,411444.873103714,4262010.15096974,411274.587327894,411615.158879534,4261847.15698131,4262173.14495817,2021-08-04 12:01:00,1628100060
"96","072D524C 2021-08-04 18:02:00","072D524C","2021-08-04","18:02:00",4,411437.865136343,4261998.73186451,411233.652913367,411642.077359319,4261813.69244353,4262183.7712855,2021-08-04 12:02:00,1628100120
"97","072D524C 2021-08-04 18:03:00","072D524C","2021-08-04","18:03:00",4,411544.552642134,4261906.91927056,411295.655256703,411793.450027566,4261723.67264621,4262090.16589491,2021-08-04 12:03:00,1628100180
"98","072D524C 2021-08-04 18:04:00","072D524C","2021-08-04","18:04:00",5,411599.13441062,4261908.64022703,411414.857873499,411783.410947741,4261721.36498374,4262095.91547032,2021-08-04 12:04:00,1628100240
"99","072D524C 2021-08-04 18:05:00","072D524C","2021-08-04","18:05:00",3,411305.534510699,4261981.02961994,410354.340918392,412256.728103006,4260472.42460891,4263489.63463098,2021-08-04 12:05:00,1628100300
"100","072D524C 2021-08-04 18:06:00","072D524C","2021-08-04","18:06:00",3,411487.253289049,4261992.8982841,409965.082038191,413009.424539908,4261034.7854663,4262951.0111019,2021-08-04 12:06:00,1628100360
"101","072D524C 2021-08-04 18:08:00","072D524C","2021-08-04","18:08:00",3,411501.055334928,4262001.20219413,410505.255427696,412496.85524216,4261343.08007999,4262659.32430828,2021-08-04 12:08:00,1628100480
"102","072D524C 2021-08-04 18:09:00","072D524C","2021-08-04","18:09:00",3,411489.184989975,4261997.63026955,410701.737092048,412276.632887902,4261481.32350669,4262513.93703242,2021-08-04 12:09:00,1628100540
"103","072D524C 2021-08-04 18:10:00","072D524C","2021-08-04","18:10:00",6,411494.165451615,4261880.94622568,411343.790696511,411644.540206719,4261740.3678556,4262021.52459576,2021-08-04 12:10:00,1628100600
"104","072D524C 2021-08-04 18:11:00","072D524C","2021-08-04","18:11:00",5,411502.956732136,4261910.31136161,411202.44485077,411803.468613502,4261708.08314153,4262112.5395817,2021-08-04 12:11:00,1628100660
"105","072D524C 2021-08-04 18:12:00","072D524C","2021-08-04","18:12:00",6,411441.689359563,4261907.88674549,411283.874801543,411599.503917583,4261765.17269972,4262050.60079126,2021-08-04 12:12:00,1628100720
"106","072D524C 2021-08-04 18:13:00","072D524C","2021-08-04","18:13:00",6,411400.131541749,4261765.07045397,411295.792885768,411504.47019773,4261634.70093023,4261895.43997771,2021-08-04 12:13:00,1628100780
"107","072D524C 2021-08-04 18:14:00","072D524C","2021-08-04","18:14:00",5,411393.197137895,4261715.52774558,411270.383346195,411516.010929596,4261585.47975948,4261845.57573168,2021-08-04 12:14:00,1628100840
"108","072D524C 2021-08-04 18:15:00","072D524C","2021-08-04","18:15:00",7,411445.045782106,4261630.67209808,411332.103336996,411557.988227217,4261532.98296873,4261728.36122744,2021-08-04 12:15:00,1628100900
"109","072D524C 2021-08-04 18:16:00","072D524C","2021-08-04","18:16:00",6,411403.891775313,4261698.84654321,411283.739068273,411524.044482353,4261584.95257597,4261812.74051046,2021-08-04 12:16:00,1628100960
"110","072D524C 2021-08-04 18:17:00","072D524C","2021-08-04","18:17:00",4,411215.124632769,4261755.51938981,411045.58678664,411384.662478898,4261580.63317455,4261930.40560506,2021-08-04 12:17:00,1628101020
"111","072D524C 2021-08-04 18:18:00","072D524C","2021-08-04","18:18:00",5,411226.61362684,4261775.44844986,411086.92402321,411366.303230469,4261593.60864928,4261957.28825045,2021-08-04 12:18:00,1628101080
"112","072D524C 2021-08-04 18:19:00","072D524C","2021-08-04","18:19:00",5,411083.775715282,4262019.41950425,410927.365958251,411240.185472313,4261894.21019466,4262144.62881384,2021-08-04 12:19:00,1628101140
"113","072D524C 2021-08-04 18:20:00","072D524C","2021-08-04","18:20:00",5,411227.911856009,4261804.41254229,411092.229717508,411363.59399451,4261635.49283119,4261973.3322534,2021-08-04 12:20:00,1628101200
"114","072D524C 2021-08-04 18:21:00","072D524C","2021-08-04","18:21:00",5,411077.011876292,4262029.84177615,410935.672402726,411218.351349858,4261912.86203981,4262146.82151248,2021-08-04 12:21:00,1628101260
"115","072D524C 2021-08-04 18:22:00","072D524C","2021-08-04","18:22:00",5,411191.059370904,4261800.14835101,411101.96714781,411280.151593998,4261696.60031699,4261903.69638503,2021-08-04 12:22:00,1628101320
"116","072D524C 2021-08-04 18:23:00","072D524C","2021-08-04","18:23:00",5,411165.65811744,4261795.78328547,411038.508910707,411292.807324174,4261652.94911551,4261938.61745544,2021-08-04 12:23:00,1628101380
"117","072D524C 2021-08-04 18:24:00","072D524C","2021-08-04","18:24:00",5,411183.196134422,4261786.31454933,411036.974360074,411329.417908771,4261622.56844168,4261950.06065698,2021-08-04 12:24:00,1628101440
"118","072D524C 2021-08-04 18:25:00","072D524C","2021-08-04","18:25:00",4,411195.271380012,4261812.17176859,411042.919579547,411347.623180477,4261610.84063839,4262013.5028988,2021-08-04 12:25:00,1628101500
"119","072D524C 2021-08-04 18:26:00","072D524C","2021-08-04","18:26:00",5,411125.853724503,4261680.24934228,410805.243648924,411446.463800081,4261333.42564809,4262027.07303646,2021-08-04 12:26:00,1628101560
"120","072D524C 2021-08-04 18:27:00","072D524C","2021-08-04","18:27:00",5,411157.882231272,4261785.11505216,411012.356736391,411303.407726153,4261624.12599274,4261946.10411159,2021-08-04 12:27:00,1628101620
"121","072D524C 2021-08-04 18:28:00","072D524C","2021-08-04","18:28:00",5,411164.057584526,4261786.27520112,411016.41578174,411311.699387311,4261623.50150681,4261949.04889542,2021-08-04 12:28:00,1628101680
"122","072D524C 2021-08-04 18:29:00","072D524C","2021-08-04","18:29:00",5,411172.520495931,4261790.15434363,411041.763685589,411303.277306273,4261644.69862335,4261935.61006392,2021-08-04 12:29:00,1628101740
"123","072D524C 2021-08-04 18:30:00","072D524C","2021-08-04","18:30:00",5,411131.989467544,4261754.31607673,410943.554594017,411320.424341071,4261517.54871471,4261991.08343875,2021-08-04 12:30:00,1628101800
"124","072D524C 2021-08-04 18:31:00","072D524C","2021-08-04","18:31:00",5,411129.209272241,4261752.95181197,410949.319821869,411309.098722613,4261522.40700049,4261983.49662345,2021-08-04 12:31:00,1628101860
"125","072D524C 2021-08-04 18:32:00","072D524C","2021-08-04","18:32:00",5,411122.978196035,4261748.9063066,410939.745853945,411306.210538125,4261503.24366811,4261994.56894509,2021-08-04 12:32:00,1628101920
"126","072D524C 2021-08-04 18:33:00","072D524C","2021-08-04","18:33:00",5,411126.597042473,4261751.88080414,410948.204496066,411304.989588879,4261519.35031764,4261984.41129065,2021-08-04 12:33:00,1628101980
"127","072D524C 2021-08-04 18:34:00","072D524C","2021-08-04","18:34:00",5,411130.376924442,4261760.28868621,410972.679004832,411288.074844053,4261564.74251531,4261955.8348571,2021-08-04 12:34:00,1628102040
"128","072D524C 2021-08-04 18:35:00","072D524C","2021-08-04","18:35:00",5,411143.254828737,4261771.18103128,411030.585993692,411255.923663783,4261642.55157215,4261899.81049041,2021-08-04 12:35:00,1628102100
"129","072D524C 2021-08-04 18:36:00","072D524C","2021-08-04","18:36:00",5,411165.549752084,4261802.92685452,411023.699030878,411307.40047329,4261641.14050828,4261964.71320076,2021-08-04 12:36:00,1628102160
"130","072D524C 2021-08-04 18:37:00","072D524C","2021-08-04","18:37:00",6,411133.772895669,4261838.55960014,411052.847058414,411214.698732924,4261757.06876535,4261920.05043494,2021-08-04 12:37:00,1628102220
"131","072D524C 2021-08-04 18:38:00","072D524C","2021-08-04","18:38:00",6,411126.861167005,4261836.70660845,411039.511984078,411214.210349933,4261749.91964042,4261923.49357647,2021-08-04 12:38:00,1628102280
"132","072D524C 2021-08-04 18:39:00","072D524C","2021-08-04","18:39:00",5,411149.537483334,4261790.47147226,411007.847066793,411291.227899875,4261630.61796542,4261950.32497909,2021-08-04 12:39:00,1628102340
"133","072D524C 2021-08-04 18:40:00","072D524C","2021-08-04","18:40:00",5,411154.724831993,4261787.50769702,411013.07615713,411296.373506856,4261629.55905597,4261945.45633806,2021-08-04 12:40:00,1628102400
"134","072D524C 2021-08-04 18:41:00","072D524C","2021-08-04","18:41:00",5,411162.469671051,4261792.0824916,411025.408678807,411299.530663296,4261639.1575761,4261945.0074071,2021-08-04 12:41:00,1628102460
"135","072D524C 2021-08-04 18:42:00","072D524C","2021-08-04","18:42:00",5,411158.790594901,4261782.34445326,411038.971718392,411278.60947141,4261650.53715541,4261914.15175112,2021-08-04 12:42:00,1628102520
"136","072D524C 2021-08-04 18:43:00","072D524C","2021-08-04","18:43:00",5,411168.545573913,4261803.94735093,411040.320903582,411296.770244244,4261657.26813268,4261950.62656918,2021-08-04 12:43:00,1628102580
"137","072D524C 2021-08-04 18:44:00","072D524C","2021-08-04","18:44:00",6,411173.861329611,4261815.83885216,411038.110239574,411309.612419649,4261676.92829241,4261954.74941191,2021-08-04 12:44:00,1628102640
"138","072D524C 2021-08-04 18:45:00","072D524C","2021-08-04","18:45:00",5,411170.672939823,4261771.69730443,410958.375567759,411382.970311888,4261544.65186402,4261998.74274484,2021-08-04 12:45:00,1628102700
