"","TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper","DateTime","UnixTime"
"19","072D524C 2021-08-04 17:18:00","072D524C","2021-08-04","17:18:00",6,411241.270576803,4261921.44255925,411131.158546735,411351.382606871,4261811.34754798,4262031.53757053,2021-08-04 11:18:00,1628097480
"20","072D524C 2021-08-04 17:21:00","072D524C","2021-08-04","17:21:00",7,411365.265654452,4261942.39855061,411229.777577077,411500.753731826,4261790.59395651,4262094.20314471,2021-08-04 11:21:00,1628097660
"21","072D524C 2021-08-04 17:24:00","072D524C","2021-08-04","17:24:00",5,411347.294507565,4261872.13076623,411178.26030012,411516.32871501,4261674.27834043,4262069.98319203,2021-08-04 11:24:00,1628097840
"22","072D524C 2021-08-04 17:27:00","072D524C","2021-08-04","17:27:00",7,411301.380197116,4261940.7174082,411215.008079674,411387.752314558,4261852.32125103,4262029.11356536,2021-08-04 11:27:00,1628098020
"23","072D524C 2021-08-04 17:30:00","072D524C","2021-08-04","17:30:00",4,411373.779751986,4261987.46573663,411298.307912032,411449.251591939,4261933.65089412,4262041.28057914,2021-08-04 11:30:00,1628098200
"24","072D524C 2021-08-04 17:33:00","072D524C","2021-08-04","17:33:00",6,411369.601588662,4261981.94868761,411250.463120593,411488.740056731,4261860.03340259,4262103.86397264,2021-08-04 11:33:00,1628098380
"25","072D524C 2021-08-04 17:36:00","072D524C","2021-08-04","17:36:00",6,411332.853396404,4262034.42866293,411275.756984265,411389.949808542,4261983.22859271,4262085.62873314,2021-08-04 11:36:00,1628098560
"26","072D524C 2021-08-04 17:39:00","072D524C","2021-08-04","17:39:00",5,411355.485361697,4262141.14890296,411122.443955127,411588.526768267,4262007.07735818,4262275.22044775,2021-08-04 11:39:00,1628098740
"27","072D524C 2021-08-04 17:42:00","072D524C","2021-08-04","17:42:00",4,411275.731353105,4262198.32950453,410901.912336878,411649.550369333,4261753.81069191,4262642.84831716,2021-08-04 11:42:00,1628098920
"28","072D524C 2021-08-04 17:45:00","072D524C","2021-08-04","17:45:00",6,411342.740663345,4262144.35131621,411211.328289903,411474.153036788,4262046.26040933,4262242.4422231,2021-08-04 11:45:00,1628099100
"29","072D524C 2021-08-04 17:48:00","072D524C","2021-08-04","17:48:00",6,411183.038915633,4262189.34673838,411091.612249749,411274.465581516,4262098.64993005,4262280.04354671,2021-08-04 11:48:00,1628099280
