"TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper"
"072D524C 2021-08-04 18:12:00","072D524C","2021-08-04","18:12:00",6,411403.637078712,4261777.04782198,411252.600993752,411554.673163673,4261585.57846883,4261968.51717513
"072D524C 2021-08-04 18:15:00","072D524C","2021-08-04","18:15:00",6,411384.936097585,4261709.68888207,411246.968962285,411522.903232885,4261579.12083123,4261840.2569329
"072D524C 2021-08-04 18:18:00","072D524C","2021-08-04","18:18:00",5,411210.517383903,4261810.85048827,411071.030513428,411350.004254378,4261641.9762185,4261979.72475803
"072D524C 2021-08-04 18:21:00","072D524C","2021-08-04","18:21:00",5,411178.365166723,4261801.25948752,411093.009229327,411263.721104119,4261703.57561513,4261898.94335991
"072D524C 2021-08-04 18:24:00","072D524C","2021-08-04","18:24:00",5,411149.311827012,4261680.14122888,410837.22427183,411461.399382194,4261389.68812923,4261970.59432853
"072D524C 2021-08-04 18:27:00","072D524C","2021-08-04","18:27:00",5,411114.548993932,4261847.62499575,410948.060095729,411281.037892135,4261707.98654835,4261987.26344314
"072D524C 2021-08-04 18:30:00","072D524C","2021-08-04","18:30:00",5,411126.116400841,4261748.76633468,410939.211841996,411313.020959686,4261501.3085959,4261996.22407346
"072D524C 2021-08-04 18:33:00","072D524C","2021-08-04","18:33:00",5,411136.24406972,4261762.66317533,410981.075274935,411291.412864506,4261577.10602079,4261948.22032988
"072D524C 2021-08-04 18:36:00","072D524C","2021-08-04","18:36:00",6,411132.737615767,4261835.09349734,411045.736531117,411219.738700417,4261748.49452844,4261921.69246624
"072D524C 2021-08-04 18:39:00","072D524C","2021-08-04","18:39:00",5,411155.581633648,4261791.27506965,411015.148387421,411296.014879875,4261633.97958312,4261948.57055618
"072D524C 2021-08-04 18:42:00","072D524C","2021-08-04","18:42:00",6,411178.117527358,4261819.40154662,411060.330086667,411295.90496805,4261697.52643193,4261941.2766613
"072D524C 2021-08-04 18:45:00","072D524C","2021-08-04","18:45:00",5,411193.426183357,4261778.74619531,411030.363521909,411356.488844804,4261592.5576916,4261964.93469902
"072D524C 2021-08-04 18:48:00","072D524C","2021-08-04","18:48:00",6,411179.568749726,4261776.59592394,411050.785626957,411308.351872495,4261654.37325164,4261898.81859623
"072D524C 2021-08-04 18:51:00","072D524C","2021-08-04","18:51:00",4,411029.204398088,4261796.60290719,410810.407083536,411248.00171264,4261572.74539044,4262020.46042394
"072D524C 2021-08-04 18:54:00","072D524C","2021-08-04","18:54:00",5,410989.980897395,4261751.14708031,410911.125669913,411068.836124876,4261676.11266915,4261826.18149146
"072D524C 2021-08-04 18:57:00","072D524C","2021-08-04","18:57:00",5,410878.326144956,4261751.89604548,410716.639614024,411040.012675887,4261585.59921705,4261918.19287391
"072D524C 2021-08-04 19:00:00","072D524C","2021-08-04","19:00:00",7,411107.82213046,4261593.46214254,410852.847134766,411362.797126155,4261328.55611311,4261858.36817196
"072D524C 2021-08-04 19:18:00","072D524C","2021-08-04","19:18:00",3,411093.565493547,4261511.82595012,410129.662032649,412057.468954445,4260906.59743432,4262117.05446591
"072D524C 2021-08-04 19:21:00","072D524C","2021-08-04","19:21:00",4,410918.166485216,4261256.18247277,410400.07672125,411436.256249182,4260819.48101996,4261692.88392559
"072D524C 2021-08-04 19:24:00","072D524C","2021-08-04","19:24:00",5,410920.125199429,4261248.62009253,410622.033405362,411218.216993497,4261026.67681121,4261470.56337384
"072D524C 2021-08-04 19:27:00","072D524C","2021-08-04","19:27:00",5,411053.972187323,4261239.45003344,410856.854652056,411251.089722591,4261025.66477705,4261453.23528984
"072D524C 2021-08-04 19:30:00","072D524C","2021-08-04","19:30:00",4,411127.376259759,4261338.94999929,411013.493545577,411241.258973942,4261190.89496747,4261487.00503111
"072D524C 2021-08-04 19:33:00","072D524C","2021-08-04","19:33:00",4,411147.106547622,4261299.3881656,410870.091523389,411424.121571856,4260984.71798575,4261614.05834544
